2,10,8,7,6,4,8,8,61,3,5,8,9,10,9,7,6,8,7,9,8,8,8,9,7,4,9,10,5,5,5,8,6,1,7,8,9,6,5,8,10,8,7,7,10,8,6,8,10,7,8,8,8,5,8,8,10,8,9,6,9,8,7,8,6,7,9,9,6,6,7,6,7,6,6,8,5,8,5,7,6,8,6,8,7,8,7,8,8,7,7,7,8,6,7,3,7,8,5,5,5,10,8,6,6,9,7,8,9,7,8,6,9,6,8,8,9,6,7,5,9,8,6,6,8,8,7,9,8,6,7,8,9,7,7,6,7,7,9,6,8,8,7,6,8,7,9,6,6,6,3,8,8,8,6,7,9,6,7,7,7,7,5,9,7,5,5,6,7,6,7,5,8,9,5,6,7,8,9,7,6,4,6,6,9,9,8,8,9,7,8,10,8,7,5,7,5,8,6,9,2,7,6,7,9,6,3,6,7,6,7,8,7,8,7,4,4,6,5,5,5,7,7,6,6,7,6,8,6,8,4,6,6,5,5,4,6,1,9,5,8,6,2,4,7,7,8,9,10,7,8,11,8,10,9,6,
1,9,8,7,9,4,5,7,57,3,6,9,8,10,8,8,8,8,6,9,9,9,5,7,10,4,8,11,8,4,6,11,9,2,7,8,9,6,4,7,10,6,7,7,8,8,7,7,11,8,8,8,11,6,9,8,7,8,9,5,8,8,8,5,8,9,7,8,9,7,8,5,7,7,7,9,9,9,7,8,7,9,8,5,7,8,9,7,8,5,8,7,7,8,7,5,9,10,7,8,7,8,10,7,5,10,7,7,7,8,9,6,8,6,9,7,9,8,5,8,9,8,8,5,7,10,6,8,10,7,7,6,9,9,7,6,8,7,9,7,6,7,6,6,7,8,7,6,5,5,5,10,7,6,6,6,10,7,7,7,7,8,6,11,8,4,6,4,7,7,7,5,9,8,5,7,8,8,11,7,7,5,5,6,9,6,8,8,8,7,10,11,6,7,3,3,6,6,6,7,3,7,7,5,10,7,2,6,7,4,8,5,10,6,8,4,4,6,5,4,6,9,6,4,5,6,5,5,4,7,4,5,6,5,5,2,5,0,6,5,7,5,3,5,8,7,8,6,9,9,8,10,8,9,8,7,
1,11,9,10,5,3,7,9,62,6,6,9,11,10,10,9,5,7,6,9,6,8,8,7,9,5,7,9,6,4,9,8,8,1,7,11,11,7,5,8,7,8,8,8,9,6,9,9,11,7,8,9,10,5,8,8,7,8,10,5,7,9,10,7,7,7,6,8,7,9,7,7,6,8,6,10,8,8,7,6,7,8,6,10,8,9,9,10,8,6,6,8,8,8,8,5,8,9,7,7,5,9,9,7,6,8,9,9,8,7,8,6,8,5,9,9,9,8,7,7,8,8,7,6,7,10,5,9,9,5,5,7,7,8,9,6,6,7,8,7,8,8,6,6,9,9,7,5,5,3,5,8,7,5,6,5,7,8,9,7,10,6,8,9,7,4,5,3,6,7,7,4,7,7,6,5,6,9,8,8,8,4,6,6,8,6,10,8,7,7,9,8,6,6,3,4,4,6,2,6,1,6,7,5,9,5,2,4,6,5,8,7,8,7,7,3,4,6,7,5,7,7,6,5,4,7,3,5,4,6,4,6,6,6,3,3,6,2,7,4,6,5,2,5,6,7,9,6,8,7,6,9,9,7,10,6,
3,9,9,6,6,4,6,9,63,3,7,8,10,9,7,9,6,7,8,8,7,6,7,9,8,5,8,9,6,4,9,8,8,0,7,9,9,6,7,11,8,9,8,6,11,8,8,10,12,6,8,9,9,5,6,6,9,7,9,6,6,8,8,9,9,6,7,7,8,9,9,6,7,6,7,7,8,10,5,7,5,7,7,6,6,8,6,8,9,4,6,8,8,5,8,5,9,6,6,6,6,8,8,5,5,8,7,7,8,7,6,5,7,7,9,7,8,8,7,7,9,8,7,7,6,10,8,7,7,8,5,5,9,7,9,7,7,8,10,7,7,7,7,6,6,7,9,6,6,4,5,9,6,5,5,7,8,6,6,6,7,6,6,9,6,5,5,7,7,6,7,3,6,6,4,7,7,8,9,8,6,7,3,5,8,7,10,7,8,8,9,10,7,5,4,5,5,4,3,4,1,4,5,5,6,5,1,5,6,4,7,6,7,5,6,3,4,4,4,4,4,6,6,5,4,5,5,5,5,4,4,3,7,4,3,2,4,0,6,4,7,3,1,2,6,7,7,6,7,8,8,8,6,8,8,5,
0,9,9,9,7,5,8,10,56,3,6,8,10,12,9,10,7,7,7,8,9,8,7,8,11,4,8,11,7,4,9,10,8,2,7,8,8,7,8,9,9,7,7,6,9,9,7,8,12,8,7,9,11,5,8,7,7,9,10,5,8,7,8,8,7,9,6,8,7,8,7,8,7,6,6,8,8,9,7,8,6,10,6,7,6,8,8,8,7,7,8,8,9,6,6,7,8,10,6,5,7,10,9,8,6,9,9,9,11,9,10,10,7,8,8,9,10,8,8,8,10,7,8,8,8,10,7,8,8,7,7,8,9,7,9,7,7,8,9,5,6,6,7,5,9,6,8,6,5,7,4,9,5,7,6,5,8,6,5,7,6,7,6,7,7,4,5,5,7,6,9,5,8,8,4,7,7,5,8,7,7,6,5,8,7,7,10,10,9,8,8,7,7,7,5,4,9,7,4,8,1,7,6,6,8,6,3,7,8,6,8,7,8,8,6,4,6,7,5,4,6,8,8,8,7,6,5,5,4,7,4,4,6,4,7,4,6,1,8,7,6,5,3,4,6,7,7,7,9,10,7,9,8,9,9,7,
0,10,11,9,8,5,8,9,61,5,7,7,10,9,9,10,6,7,8,9,8,9,7,6,9,4,11,10,6,5,9,9,9,2,8,7,10,8,8,9,11,10,9,6,8,9,8,9,13,9,8,9,9,6,8,6,8,8,9,7,9,8,8,7,8,8,7,9,8,9,8,7,6,8,6,8,9,8,6,9,6,9,8,9,8,8,7,9,10,8,8,7,9,8,8,5,9,10,8,5,6,8,9,8,5,10,7,7,7,7,7,7,9,7,10,10,9,8,8,8,10,7,10,8,8,9,7,10,8,7,8,6,9,8,9,8,6,7,9,4,7,8,7,6,9,9,8,7,6,5,6,9,8,7,6,5,9,6,6,9,8,7,6,9,8,4,6,6,7,8,9,6,8,8,5,6,6,8,9,8,9,6,5,7,9,8,8,9,10,6,8,9,10,7,3,3,8,7,3,7,3,8,7,6,10,6,4,7,8,6,8,7,10,8,7,4,5,7,7,4,6,8,7,7,5,6,6,6,6,4,5,4,6,6,4,4,6,2,10,6,7,6,2,6,8,6,8,8,11,9,9,9,8,8,11,7,
3,11,8,7,8,5,8,8,58,5,7,8,9,8,7,10,5,6,6,10,6,6,7,8,9,5,7,9,6,5,8,8,10,1,10,8,10,8,5,8,9,6,6,8,8,8,6,8,12,7,9,9,10,5,8,6,8,9,10,7,10,6,8,8,7,8,8,7,6,8,8,6,8,7,5,8,7,8,5,7,5,8,8,7,8,7,7,9,10,6,8,8,8,6,7,5,8,8,5,6,6,7,8,4,5,9,8,8,7,6,7,5,7,5,8,9,10,7,7,6,9,7,5,6,6,8,6,8,10,7,7,10,9,9,8,8,8,8,10,6,8,9,7,6,9,9,8,9,6,7,6,10,9,7,6,8,10,7,8,6,8,8,9,11,7,6,8,5,7,6,9,6,9,8,6,6,7,9,11,9,10,7,8,6,10,10,10,10,9,8,9,11,8,6,3,5,6,5,3,5,3,7,6,5,8,6,2,7,7,6,6,8,9,7,6,4,5,6,5,5,5,8,5,3,6,7,4,6,4,7,4,4,6,5,4,4,6,0,6,5,6,5,2,4,4,6,7,7,8,9,9,10,9,9,9,6,
2,10,7,8,7,6,7,10,63,4,7,8,8,10,8,11,4,7,9,7,7,10,6,10,9,5,9,9,5,7,9,8,10,2,7,7,10,6,5,9,9,8,7,8,9,8,7,11,12,8,8,9,9,7,8,9,8,7,9,7,11,6,8,9,7,8,8,9,10,8,7,7,6,6,7,8,7,8,6,6,6,10,7,8,7,7,9,10,8,5,7,5,9,5,9,5,8,9,7,5,6,7,9,6,6,9,7,10,6,7,6,7,8,8,10,9,9,9,9,7,8,6,7,6,9,8,8,9,6,6,9,10,9,8,9,7,6,8,8,6,8,7,8,8,8,4,8,6,6,6,5,10,6,6,7,6,8,8,7,8,8,7,8,10,7,4,7,7,7,5,8,4,8,8,7,7,9,6,9,5,8,7,7,10,9,6,7,9,7,7,8,10,8,6,2,5,7,5,5,6,2,5,6,6,9,5,0,7,7,5,7,5,8,6,6,2,6,5,6,6,5,6,6,6,3,7,6,6,6,5,6,4,7,6,5,2,6,0,6,5,8,5,2,3,6,8,6,6,11,8,6,10,7,8,9,7,
2,9,7,6,6,3,6,10,56,2,6,6,9,7,9,7,4,5,8,9,6,10,6,7,9,4,6,10,5,4,5,8,7,1,8,9,8,5,4,7,8,8,7,6,9,7,7,8,11,8,7,10,9,5,8,7,7,7,9,5,8,5,6,9,7,7,7,7,8,6,6,8,7,6,5,8,6,8,6,6,6,9,4,5,7,7,5,8,9,5,6,6,9,8,8,3,8,8,6,6,5,7,8,6,5,6,7,9,8,6,6,8,9,7,8,8,9,7,7,8,7,8,7,7,6,8,4,8,9,7,7,7,8,8,8,8,6,8,7,6,7,7,7,7,7,9,10,6,8,7,6,9,8,6,7,7,8,7,6,9,8,8,5,10,7,7,6,6,8,6,9,5,7,7,5,7,9,9,10,6,8,4,6,6,7,8,9,8,9,7,8,10,9,6,5,4,7,6,4,10,3,6,8,7,9,6,3,7,7,6,7,8,9,8,9,3,6,7,6,4,5,9,6,6,5,7,6,6,4,7,2,6,6,7,4,3,5,2,6,6,8,6,3,4,7,6,9,5,12,9,6,10,8,10,10,9,
3,10,9,7,7,7,6,8,60,2,7,8,9,9,8,8,6,7,7,9,8,8,5,10,8,5,8,9,7,2,6,9,8,0,8,7,7,8,5,7,9,10,5,7,8,7,6,10,11,8,8,9,10,5,8,5,8,12,10,7,10,7,8,7,8,8,6,9,9,8,6,7,6,5,7,7,7,8,6,8,4,9,5,9,8,9,6,8,9,6,6,7,8,8,6,7,9,9,6,5,6,7,9,7,4,8,8,9,8,6,8,6,9,4,7,8,8,6,7,9,9,6,9,7,7,8,7,8,8,6,4,7,10,8,9,7,5,8,10,6,7,7,8,6,8,7,9,6,7,7,6,9,7,6,5,6,8,8,8,7,8,7,8,11,8,4,6,5,7,6,9,4,7,9,7,7,5,8,6,7,7,7,5,6,7,8,9,9,8,10,10,9,7,7,3,2,8,5,5,7,4,8,6,4,8,5,4,5,6,5,7,6,6,8,6,3,4,6,5,5,5,7,7,6,6,7,4,4,5,7,3,4,6,5,3,3,4,0,6,5,7,4,2,3,6,7,7,3,10,8,7,9,6,6,9,5,
1,9,8,7,8,5,7,10,62,3,5,7,9,10,8,10,6,6,7,8,9,8,4,10,9,5,9,10,5,5,5,9,8,3,7,6,10,5,5,7,8,7,9,6,9,9,7,8,11,9,7,10,9,5,7,7,7,9,9,6,8,9,5,6,9,8,7,7,7,8,7,7,5,4,6,11,6,8,5,8,6,9,6,8,8,8,8,10,8,6,8,6,9,7,8,5,10,9,6,7,5,7,8,6,6,11,7,8,9,7,9,6,7,7,10,8,10,8,6,10,8,8,8,7,8,7,6,7,9,8,7,9,8,8,11,6,7,7,9,6,7,8,7,7,9,7,7,6,6,7,7,9,8,8,6,6,7,6,8,8,9,6,8,9,8,4,6,5,7,6,8,6,9,9,4,7,8,8,9,7,8,8,7,6,9,8,10,9,11,9,10,8,8,8,4,3,6,6,4,6,4,6,7,7,8,6,3,6,7,4,8,6,10,7,7,4,5,6,7,4,7,8,7,7,6,7,5,5,5,7,5,5,7,5,5,2,5,2,6,6,7,5,2,3,6,7,8,6,9,10,7,12,10,8,9,6,
0,8,7,8,5,3,6,8,56,2,7,7,9,9,7,8,6,7,6,8,7,10,6,7,7,3,8,9,5,4,7,8,6,1,7,7,7,6,5,6,9,8,7,5,6,6,8,10,12,7,10,8,9,5,8,7,7,8,8,7,6,8,7,5,6,8,6,9,5,7,6,6,7,6,8,9,8,8,5,8,6,9,7,7,7,8,6,8,8,6,8,6,7,7,8,7,8,9,6,6,5,9,8,6,4,7,8,7,9,7,6,6,8,7,8,7,9,6,7,8,8,6,7,6,6,9,6,7,8,6,7,8,10,6,7,7,5,6,7,7,7,8,7,5,7,8,8,7,7,5,6,9,7,5,8,7,11,7,6,6,8,8,8,12,5,6,6,7,7,7,8,6,8,8,6,7,7,8,9,7,7,5,6,5,8,9,9,8,9,7,9,9,8,6,1,4,6,4,3,5,2,5,4,6,9,6,2,5,6,6,6,6,10,6,6,2,5,5,6,5,4,8,6,5,4,7,4,4,4,7,6,5,4,6,5,2,5,0,7,7,6,4,2,4,5,7,7,5,9,7,5,9,6,7,8,7,
3,9,7,6,5,4,7,8,59,5,6,8,8,8,8,9,8,6,6,8,7,9,5,9,9,5,9,8,6,4,8,9,7,3,8,9,8,5,5,8,8,7,6,6,8,8,7,8,10,10,7,9,10,5,6,6,9,8,10,5,8,8,9,8,7,7,7,8,6,9,7,6,7,6,5,7,7,8,4,7,7,9,6,7,6,8,8,8,10,6,8,7,6,7,8,5,6,9,7,5,6,8,7,7,6,6,7,8,9,5,8,6,8,6,10,7,9,8,6,7,9,9,8,7,8,10,6,8,9,7,8,8,7,8,9,5,7,8,10,7,7,7,8,6,10,8,8,7,5,6,6,9,8,7,8,5,8,7,7,7,8,9,9,12,6,5,5,5,5,8,10,5,9,9,6,8,9,8,11,9,9,8,4,7,10,10,10,11,10,6,9,9,10,6,4,5,6,6,5,5,3,8,5,6,8,6,5,6,7,6,8,7,9,6,7,6,5,6,5,5,5,9,8,7,5,7,6,7,5,7,5,5,5,6,4,4,7,1,7,6,9,5,3,3,7,7,10,7,8,11,8,10,8,8,11,8,
1,10,6,6,8,5,7,9,59,5,5,10,9,11,9,11,6,6,7,8,7,8,6,10,9,5,8,9,5,4,7,8,8,1,7,8,8,5,5,8,10,11,7,6,9,9,6,9,10,7,7,9,10,4,8,5,8,6,9,8,7,8,9,7,7,8,8,10,9,9,8,7,7,5,6,9,10,7,5,7,7,11,6,6,9,10,8,9,8,5,8,7,10,7,9,6,8,9,8,7,6,10,8,5,8,9,8,9,9,8,8,7,8,5,9,10,9,8,7,8,9,7,7,9,8,8,5,9,8,8,6,9,9,8,9,7,8,8,10,5,7,8,9,7,9,6,10,8,6,8,6,8,8,9,7,6,10,8,6,8,10,8,7,11,8,4,6,7,9,7,8,5,8,9,5,7,6,7,9,5,8,6,5,7,9,8,9,7,8,8,9,9,8,7,2,4,6,8,5,6,4,6,6,7,10,5,3,8,8,5,6,8,9,8,7,5,5,7,7,5,5,8,7,7,5,7,5,7,6,7,5,5,4,3,5,4,7,2,7,7,6,5,2,4,5,6,8,7,8,8,8,9,8,8,10,7,
3,10,9,9,6,5,7,9,59,4,9,9,10,10,9,9,7,7,7,7,8,11,5,8,9,6,8,10,5,6,7,8,8,3,8,6,8,7,5,8,9,8,7,8,7,9,8,9,12,7,9,9,10,5,7,7,8,8,11,8,9,10,8,8,9,10,5,8,6,8,6,7,7,7,6,10,7,7,6,8,5,9,6,9,8,7,7,7,8,7,8,6,7,8,7,5,8,9,6,8,5,8,9,7,6,9,7,8,9,6,9,9,8,6,10,10,10,8,7,6,10,6,9,8,8,11,5,7,9,6,6,8,8,8,7,8,7,7,9,8,6,7,8,6,8,7,8,6,8,6,7,9,7,7,6,7,7,7,7,8,8,8,7,9,7,6,6,7,7,8,7,4,8,9,4,8,8,8,9,7,7,6,5,7,7,10,10,10,8,8,8,8,9,7,1,5,8,7,5,7,4,7,6,7,9,5,1,7,8,6,8,5,8,7,5,3,6,8,6,6,5,8,8,5,3,8,5,6,4,8,5,7,6,4,3,2,4,0,5,7,7,6,2,2,6,7,10,7,10,9,8,9,8,10,9,9,
2,10,7,8,7,5,6,7,59,2,5,8,9,10,7,10,6,4,8,8,8,8,6,7,8,4,8,8,6,3,9,8,7,2,6,4,7,5,4,7,8,7,6,7,8,7,7,9,9,9,7,8,10,7,7,4,7,7,10,6,9,7,8,8,7,6,7,8,6,8,7,5,5,4,5,7,7,9,4,6,5,9,7,5,7,9,8,10,8,7,7,6,6,6,6,2,8,8,7,5,5,7,7,6,6,7,7,8,8,7,6,5,7,4,8,6,8,8,7,6,9,7,7,7,8,9,5,8,9,7,7,7,9,4,9,6,6,9,8,8,7,8,8,6,9,8,8,7,7,5,7,9,6,6,6,5,9,8,8,8,8,8,8,11,8,5,8,7,7,8,9,7,8,10,6,8,8,9,9,7,8,5,6,7,8,9,9,8,9,7,11,10,7,6,4,6,6,5,4,7,3,7,8,5,8,7,2,5,8,5,7,8,9,7,8,4,3,6,5,6,6,8,6,5,4,7,4,7,4,8,5,7,5,5,4,5,6,2,7,7,7,4,1,4,7,6,8,5,9,9,8,10,8,8,8,7,
3,10,8,10,7,6,5,9,59,5,6,9,10,11,9,11,8,7,7,8,8,10,4,10,9,5,9,9,7,5,7,7,8,2,7,8,8,7,6,9,9,7,8,8,10,9,9,10,12,7,9,9,10,8,7,7,10,9,11,7,9,8,9,6,7,8,7,6,7,7,9,6,7,6,6,8,8,9,7,5,7,8,5,7,7,7,6,6,8,6,8,6,8,6,8,4,7,10,7,7,5,8,8,5,4,8,6,8,7,6,8,7,6,6,11,9,8,9,7,6,10,6,7,7,9,9,6,8,8,8,5,9,9,9,8,9,8,8,9,6,8,9,9,7,6,6,8,6,6,5,5,10,7,6,9,5,8,6,7,7,8,8,8,11,8,5,6,6,9,5,8,5,9,7,5,7,8,9,9,6,9,4,7,6,8,10,9,10,10,9,11,9,9,9,2,4,5,6,4,7,4,6,8,9,8,4,2,5,7,5,8,7,8,8,7,5,5,9,7,4,5,7,8,6,4,7,5,6,2,9,4,5,5,6,4,3,5,2,6,5,5,5,4,3,6,5,8,7,10,7,8,10,6,8,7,6,
1,11,9,9,8,5,8,8,61,4,7,8,9,10,7,9,5,6,8,8,6,9,6,10,8,5,9,9,6,4,6,9,7,0,8,10,10,7,6,8,9,9,6,6,7,9,7,8,12,9,6,10,10,7,8,7,10,10,10,5,10,8,8,7,8,9,5,7,7,8,8,5,7,6,6,7,9,10,7,7,5,8,5,8,8,8,7,8,9,5,8,5,7,6,7,5,10,9,6,6,4,8,7,5,5,6,5,8,8,8,9,7,10,5,8,9,9,7,7,6,8,7,10,7,8,9,6,8,7,8,8,7,10,7,7,8,6,8,7,6,9,8,8,5,7,8,7,6,6,6,7,10,7,7,4,6,8,6,6,8,7,7,6,11,8,6,5,5,6,7,9,7,5,8,6,7,6,8,10,5,8,6,5,6,8,8,7,10,8,6,9,11,7,7,3,6,5,5,5,6,3,7,6,6,8,5,3,7,8,5,7,6,9,7,7,3,2,8,5,7,4,7,8,8,7,9,5,7,6,6,5,3,5,4,4,3,5,1,6,7,6,7,3,2,7,7,7,8,9,10,7,11,8,8,10,8,
1,11,8,10,6,4,6,10,60,2,7,9,10,10,7,10,6,7,6,8,10,8,6,8,9,5,7,9,6,5,5,8,9,4,9,10,9,7,6,8,9,7,7,7,10,8,5,8,11,7,9,9,10,5,5,7,8,8,8,6,9,8,7,9,9,10,9,7,8,9,7,8,8,6,6,8,8,9,5,7,6,11,7,6,7,9,7,10,9,8,8,7,9,8,7,7,9,9,6,7,7,10,10,6,7,9,9,8,9,9,7,7,10,6,10,10,11,7,7,8,8,7,8,8,9,9,6,9,7,6,7,7,11,8,9,6,7,8,10,8,7,8,8,5,7,8,7,8,7,5,5,8,6,6,4,7,7,5,7,7,6,8,6,10,7,7,6,4,7,7,7,5,9,7,6,7,9,8,9,7,8,7,4,6,10,6,8,9,9,8,9,9,9,8,5,5,3,5,5,8,3,6,7,7,9,4,1,5,8,4,8,7,10,4,7,2,6,6,5,4,6,8,5,4,3,6,3,4,5,6,4,5,6,5,5,3,5,2,7,6,8,4,2,3,7,8,8,8,9,8,9,10,8,10,10,7,
2,9,7,7,6,3,3,8,63,4,4,9,8,8,8,8,4,4,8,6,8,6,4,7,8,2,6,9,5,5,6,8,7,2,6,7,7,7,8,8,8,8,6,5,8,7,8,9,10,7,8,7,9,5,6,6,9,8,9,6,8,7,10,6,9,8,7,7,7,6,7,7,7,6,6,9,6,8,5,7,6,8,6,7,9,9,8,8,11,8,6,6,9,7,10,5,8,10,7,5,7,9,9,5,6,8,6,8,8,6,6,6,8,5,9,8,9,9,7,6,10,6,8,9,7,8,6,8,7,8,8,6,10,7,9,7,7,9,8,7,8,8,8,7,8,7,7,7,7,6,5,8,7,7,5,7,11,5,6,9,7,9,7,10,7,6,6,5,7,7,9,4,8,9,5,7,7,9,10,7,8,6,8,6,10,9,9,10,9,8,9,10,9,8,5,5,7,6,3,7,4,8,6,6,9,5,4,7,7,8,8,7,7,6,7,4,4,5,6,3,6,7,7,6,5,7,5,6,6,7,4,5,5,5,5,5,6,1,7,7,9,5,1,3,6,6,9,8,10,8,8,12,7,10,10,7,
2,9,10,8,6,5,7,9,58,5,4,9,9,9,8,8,5,6,7,8,8,11,5,9,9,4,8,10,6,5,7,7,7,0,7,7,8,4,5,9,8,9,7,6,12,7,7,8,12,5,8,10,9,7,7,7,8,7,10,5,7,8,8,6,7,8,8,8,7,8,6,6,6,5,6,7,8,9,5,6,7,8,7,7,8,7,6,9,9,7,7,8,7,6,6,4,7,9,7,7,3,7,5,6,5,7,6,7,7,5,8,6,9,7,8,8,9,5,6,8,10,5,8,8,7,8,7,8,8,5,7,8,10,6,8,5,5,8,7,5,7,7,7,7,9,7,8,7,5,6,6,9,7,7,5,5,9,7,6,6,7,8,6,10,7,4,6,5,8,8,7,5,7,7,4,5,7,8,8,6,7,6,4,6,10,7,9,9,8,7,9,8,9,7,3,2,7,6,4,7,3,7,5,6,8,5,2,7,7,7,8,7,11,7,9,4,6,6,6,6,5,8,4,7,6,7,6,6,4,8,6,5,5,6,4,3,4,2,8,6,6,7,1,5,5,6,9,7,8,9,7,11,8,10,11,6,
4,9,9,9,8,6,6,8,60,3,7,8,9,11,8,10,7,8,7,9,7,8,6,10,9,7,9,12,6,6,8,9,8,3,8,9,8,6,5,9,9,8,7,8,11,10,7,7,11,8,7,10,10,6,7,6,7,9,11,8,10,8,9,7,9,7,6,8,6,8,7,7,8,7,5,9,9,9,6,6,4,8,7,9,8,8,9,9,7,8,8,7,7,8,8,4,8,9,7,6,7,9,10,6,4,8,8,8,7,6,8,8,7,8,9,10,10,8,6,8,8,6,9,8,7,9,7,7,8,7,7,10,8,8,8,6,7,8,10,5,7,8,7,7,8,8,8,6,6,4,6,9,10,9,6,6,9,8,7,10,8,7,7,10,8,6,5,9,7,8,9,5,11,8,6,7,10,8,10,8,7,6,6,6,9,10,9,9,7,10,10,9,8,7,3,5,6,8,5,7,4,7,6,5,7,4,2,7,7,4,6,9,9,8,7,4,4,6,6,5,6,6,7,5,4,8,5,8,6,7,6,5,7,5,3,2,6,2,5,6,6,4,3,4,7,10,9,7,9,8,9,8,7,8,8,7,
3,9,8,7,7,4,6,7,59,2,7,9,9,11,8,9,7,5,10,8,10,8,7,9,9,6,7,8,5,6,8,8,9,3,6,8,7,8,6,8,9,8,8,7,8,8,7,9,12,8,8,9,9,4,5,7,8,9,8,7,6,8,8,8,8,9,8,10,8,8,7,8,7,8,6,8,9,10,5,8,5,10,6,8,8,10,7,8,11,7,9,8,9,7,9,5,8,9,7,6,7,9,8,7,5,9,6,8,8,6,7,7,7,6,8,8,10,8,6,8,10,8,8,7,7,9,7,10,10,6,6,9,7,9,9,7,6,9,10,7,6,8,8,7,6,6,8,7,6,5,6,7,7,6,7,5,8,6,7,9,7,7,6,11,7,6,5,6,6,8,8,5,9,9,7,6,7,7,10,8,8,6,7,4,7,8,9,9,8,8,12,8,9,5,3,4,8,5,5,6,4,5,8,7,10,4,1,6,6,5,9,6,9,7,5,4,4,6,4,5,5,10,6,5,5,6,5,4,4,8,5,4,7,6,5,2,4,1,8,6,6,5,4,4,5,6,8,7,10,9,8,10,7,7,11,7,
2,9,9,7,7,4,7,9,58,3,6,7,10,9,8,8,7,6,8,7,9,9,7,8,9,5,9,9,6,3,7,8,7,1,7,9,8,7,3,7,9,8,8,6,9,8,8,10,9,9,7,8,8,5,6,7,8,8,9,7,9,7,10,6,10,7,7,7,7,9,7,7,6,4,7,7,8,10,7,8,5,7,7,8,9,8,8,9,10,8,8,7,9,8,8,4,8,10,7,7,5,10,8,7,6,9,8,9,8,6,7,6,10,8,9,9,9,8,6,8,7,8,9,8,9,8,6,7,9,7,7,8,10,8,9,7,7,7,8,5,7,8,8,6,8,7,7,8,6,7,6,8,6,8,6,6,9,7,8,8,9,9,9,11,7,6,7,4,8,6,8,6,10,9,7,9,7,9,9,6,9,6,5,8,8,8,8,9,8,8,8,10,8,7,4,5,8,5,5,6,4,7,6,4,7,4,2,7,8,6,8,6,7,9,5,4,3,8,7,8,5,9,6,6,5,7,6,6,5,9,5,5,6,5,6,4,6,1,5,8,7,6,3,4,7,8,9,6,11,9,7,9,8,9,8,8,
1,9,8,9,7,2,7,10,60,4,8,9,9,9,8,8,8,4,5,8,7,9,6,8,10,5,6,10,5,6,5,7,7,2,9,8,9,6,4,8,8,8,8,6,9,8,8,8,10,6,8,8,8,6,8,6,9,9,9,6,9,7,8,6,7,8,5,7,7,8,7,7,5,4,5,8,8,7,6,7,6,7,3,10,7,6,7,9,7,7,7,8,8,8,8,5,8,6,6,6,6,9,8,5,5,9,7,8,8,7,7,6,8,5,8,10,9,7,8,5,11,7,6,6,6,9,6,7,8,7,7,7,8,8,11,6,7,4,10,5,6,7,9,7,7,6,7,5,7,6,7,9,6,5,6,6,8,8,6,8,7,9,7,9,7,6,7,7,6,6,7,5,6,8,7,7,5,8,9,7,7,7,8,6,11,8,8,8,8,8,10,12,6,7,2,3,7,7,6,5,3,7,8,5,8,6,2,7,6,5,8,7,8,7,7,4,5,6,5,5,4,7,6,5,5,7,6,5,4,9,5,6,7,5,4,4,7,2,7,6,7,6,3,3,6,7,7,7,11,7,8,11,7,10,10,5,
2,10,9,6,7,4,6,8,60,3,6,11,11,9,8,8,7,8,8,9,7,8,6,8,8,5,8,9,5,6,7,8,8,2,8,9,8,6,6,9,8,8,7,6,9,8,6,7,10,7,7,10,9,6,6,6,7,8,11,7,8,7,10,8,8,8,7,9,7,7,8,7,5,6,5,9,7,8,4,6,6,11,8,7,9,8,7,9,9,6,8,4,8,8,7,4,8,11,6,4,6,8,8,6,5,9,6,8,9,7,7,8,8,6,9,7,8,7,7,6,10,6,8,6,8,9,7,8,9,7,9,8,10,9,11,6,6,8,9,8,7,9,9,8,7,6,9,6,6,7,7,9,7,6,5,7,9,8,7,8,8,6,7,12,8,6,6,8,7,9,10,6,10,8,8,7,8,8,9,9,7,6,6,7,8,6,11,9,9,8,8,10,6,6,2,4,6,6,6,6,4,6,5,5,8,4,2,5,6,7,6,5,7,6,6,3,5,7,5,5,4,6,7,5,5,7,4,4,3,8,3,2,3,5,4,1,4,1,5,5,7,4,2,5,7,7,7,8,9,8,7,9,9,7,9,6,
1,7,6,8,3,5,5,8,57,3,6,7,7,9,8,7,6,7,3,8,8,7,6,8,8,5,8,9,5,5,8,9,7,2,9,7,7,5,5,8,9,8,7,6,7,7,8,8,10,6,8,10,11,5,7,5,8,7,8,6,7,7,6,6,7,7,5,8,7,7,5,6,6,4,5,8,7,7,5,6,4,8,6,7,7,7,6,8,8,6,7,5,7,6,6,4,7,7,7,6,4,8,8,5,4,8,8,7,6,6,8,5,7,6,9,9,6,7,6,8,8,6,8,7,8,8,5,7,9,7,5,8,11,8,8,9,7,6,8,6,7,10,6,7,6,7,6,9,6,6,8,8,7,5,8,5,7,7,6,8,8,7,7,7,7,5,6,5,6,8,6,6,7,8,6,6,7,8,8,6,8,6,6,8,7,9,8,7,9,6,9,10,5,7,2,4,6,6,4,6,4,6,7,6,8,5,0,6,6,4,7,5,8,6,6,3,5,6,6,5,3,6,5,5,4,6,6,6,4,6,3,4,6,5,5,4,3,0,6,8,6,5,1,5,6,7,6,6,8,7,7,10,7,9,9,8,
